tweet_id,processed_tweet
1,dr manmohan singh stronger prime minister narendra modi agree
2,dr manmohan singh stronger prime minister narendra modi agree
3,dr manmohan singh stronger prime minister narendra modi agree
4,dr manmohan singh stronger prime minister narendra modi agree
5,kerala voters think suitable candidate post pm india modi
6,narendra modi prime minister temple desperately need help sign petition
7,entire world sees modi ji representative god born brought india
8,beedilivelihoodsmatter beedilivelihoodsmatter shri honble narendra
9,kerala voters think suitable candidate post pm india modi
10,today occasion womens day prime minister shri narendra modi bought products various women self help
11,attended meeting national committee commemoration anniversary indias independence
12,narendra modi prime minister temple desperately need help sign petition
13,beedilivelihoodsmatter shri honble narendra modi saheb requested repeal quota
14,dr manmohan singh stronger prime minister narendra modi agree
15,even state people prefer rahul gandhi narendra modi post prime minister godi media cant help
16,faced protests prime minister narendra government offered suspend laws months
17,dr manmohan singh stronger prime minister narendra modi agree
18,today occasion day prime minister shri narendra modi ji bought products various women
19,anyone atheistwho values rule law democracy freedom group identity
20,today occasion womens day prime minister shri narendra modi bought products various women self help
21,smita prakash brilliant modi p.m elected political process known
22,anyone atheistwho values rule law democracy freedom group identity
23,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
24,kerala voters think suitable candidate post pm india modi
25,scores rohingya fled persecution myanmar held detention centre india hindunationalist
26,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
27,dr manmohan singh stronger prime minister narendra modi agree
28,dr manmohan singh stronger prime minister narendra modi agree
29,dr manmohan singh stronger prime minister narendra modi agree
30,womens day lets forget indias bravest journalist gauri lankesh shot door steps
31,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
32,dr manmohan singh stronger prime minister narendra modi agree
33,dr manmohan singh stronger prime minister narendra modi agree
34,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
35,bcci announces schedule vivo ipl season kickstart april chennai final take place
36,dr manmohan singh stronger prime minister narendra modi agree
37,narendra modi bengal amit shah tn himanta biswa assam demeaning leaders people say
38,faced protests prime minister narendra government offered suspend laws months
39,dr manmohan singh stronger prime minister narendra modi agree
40,mallus become laughing stock choosing rahul gandhi narendra modi icon laughing stock rest
41,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
42,kerala voters think suitable candidate post pm india modi
43,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
44,dr manmohan singh stronger prime minister narendra modi agree
45,narendra modi bengal amit shah tn himanta biswa assam demeaning leaders people say
46,faced protests prime minister narendra government offered suspend laws months
47,dr manmohan singh stronger prime minister narendra modi agree
48,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
49,dr manmohan singh stronger prime minister narendra modi agree
50,dr manmohan singh stronger prime minister narendra modi agree
51,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi
52,dr manmohan singh stronger prime minister narendra modi agree
53,dr manmohan singh stronger prime minister narendra modi agree
54,dr manmohan singh stronger prime minister narendra modi agree
55,internationalwomensday pm buys tribal art painting support nari shakti read
56,today occasion womens day prime minister shri narendra modi bought products various women self help
57,attended meeting national committee commemoration anniversary indias independence
58,today occasion womens day prime minister shri narendra modi bought products various women self help
59,good fall woman cm rides scooter protest
60,dont say clearly modis followers fake fake perception break like castle
61,dr manmohan singh stronger prime minister narendra modi agree
62,shah narendra modi two syndicate ministers come bengal lie respect chair
63,kerala voters think suitable candidate post pm india modi
64,know se blames bureaucracy shortcomings inefficiencies prime minister
65,leftrightcentre dinesh trivedi bjp leader unparliamentary language used westbengal chief minister mamata
66,foundation amaravati laid per hindu rituals narendra modi ji pandits chanting vedas
67,today occasion womens day prime minister shri narendra modi bought products various women self help
68,beedilivelihoodsmatter shri honble narendra modi saheb requested repeal quota
69,high time pm narendra modi intervene states like mp instead preaching sermons women
70,faced protests prime minister narendra government offered suspend laws months
71,proved power stong independent woman true inspiration independent woman male
72,faced protests prime minister narendra government offered suspend laws months
73,today occasion womens day prime minister shri narendra modi bought products various women self help
74,dr manmohan singh stronger prime minister narendra modi agree
75,dr manmohan singh stronger prime minister narendra modi agree
76,internationalwomensday pm buys tribal art painting support nari shakti read
77,kerala voters think suitable candidate post pm india modi
78,dr manmohan singh stronger prime minister narendra modi agree
79,dr manmohan singh stronger prime minister narendra modi agree
80,pm shri narendra modi buys classic palm craft nilavilakku made women based kerala buy
81,often seen pm shri narendra modi wearing gamusa extremely comfortable today pm bought
82,pm shri narendra modi going use handmade jute file folder west bengal made tribal communities
83,khadi closely associated mahatma gandhi rich history pm shri narendra modi bought khadi cotton
84,poor show strength brigade parade ground proves bjps party members state bother
85,high time pm narendra modi intervene states like mp instead preaching sermons women
86,faced protests prime minister narendra government offered suspend laws months
87,dr manmohan singh stronger prime minister narendra modi agree
88,india proud naga culture synonymous bravery compassion creativity pm shri narendra modi purchased
89,dr manmohan singh stronger prime minister narendra modi agree
90,dr manmohan singh stronger prime minister narendra modi agree
91,faced protests prime minister narendra government offered suspend laws months
92,dr manmohan singh stronger prime minister narendra modi agree
93,pm shri narendra modi bought handcrafted gond paper painting today merges colours creativity art
94,dr manmohan singh stronger prime minister narendra modi agree
95,people watched see new narendra modi stadium
96,dr manmohan singh stronger prime minister narendra modi agree
97,recall years ago ruled british narendra modi compared
98,high time pm narendra modi intervene states like mp instead preaching sermons women
99,namos party steals photographs brigade rally cover flop show
100,pm narendra modi lauds mangalurubased cardiologist selfless service
